Date,AMF,BUT,BMP,SMP,WMP
Jun-10,5324,4701,3495,3462,3790
Jul-10,4620,4126,3083,3067,3224
Aug-10,4302,3824,2905,2770,2974
Sept-10,4681,4111,3198,3197,3522
Oct-10,5256,4661,3072,3221,3521
Nov-10,5394,4733,3011,3021,3495
Dec-10,5333,4665,3034,3060,3556
Jan-11,5984,5348,3390,3492,3750
Feb-11,6486,5866,3880,3913,3995
Mar-11,6424,5587,4040,3977,4619
Apr-11,5985,5390,3775,3763,3878
May-11,5670,5151,3905,3909,3859
Jun-11,5669,5337,4317,4372,3780
Jul-11,5278,4799,3335,3704,3638
Aug-11,4297,3864,3319,3479,3474
Sept-11,4353,3967,2988,3444,3314
Oct-11,3703,3273,3075,3193,3309
Nov-11,3309,2866,2934,3292,3487
Dec-11,4013,3515,3410,3424,3637
Jan-12,3982,3466,3585,3269,3554
Feb-12,3942,3445,3430,3296,3533
Mar-12,3631,3167,3217,3194,3409
Apr-12,3583,3153,3094,3078,3227
May-12,2852,2524,2736,2730,2776
Jun-12,3096,2853,2456,3011,2763
Jul-12,2745,2385,2483,2599,2760
Aug-12,2804,2543,2416,2805,2675
Sept-12,3530,3245,3091,3211,2978
Oct-12,2982,2689,3144,3309,3167
Nov-12,3026,2706,3510,3449,3352
Dec-12,3197,2908,3615,3362,3170
Jan-13,3169,2941,3640,3572,3199
Feb-13,3500,3142,3530,3554,3468
Mar-13,3820,4081,4200,3759,4298
Apr-13,4695,4425,4595,5142,5100
May-13,4675,4409,4500,4280,4721
Jun-13,4478,3743,4410,4164,4643
Jul-13,4645,3707,4610,4441,4757
Aug-13,4612,3499,4641,4451,5021
Sept-13,5109,3710,4566,4420,5058
Oct-13,5062,3915,4695,4491,5208
Nov-13,5343,3529,4524,4559,4891
Dec-13,5395,3750,4630,4791,5035
Jan-14,5538,4223,4539,4688,4934
Feb-14,5569,4745,4775,4746,5005
Mar-14,5126,4746,4792,4658,4703
Apr-14,4062,4040,4211,4126,4033
May-14,4170,3892,3713,3873,3928
Jun-14,4058,3634,3628,3863,3594
Jul-14,3606,3181,4135,3810,3459
Aug-14,3457,2800,3852,3264,2725
Sept-14,3360,2753,3174,2600,2673
Oct-14,3117,2514,2723,2540,2443
Nov-14,3292,2505,2426,2457,2522
Dec-14,3817,2849,2560,2423,2229
Jan-15,4493,3558,2736,2386,2307
Feb-15,4067,3783,2436,2598,2874
Mar-15,4237,3912,2681,2935,3241
Apr-15,3663,3259,2130,2467,2538
May-15,3505,3005,1748,2048,2386
Jun-15,3112,2619,1795,1982,2309
Jul-15,2855,2694,1878,1875,2054
Aug-15,2253,2293,1700,1419,1590
Sept-15,3029,2746,1829,1698,2078
Oct-15,3763,3037,1945,2267,2824
Nov-15,3647,2574,1844,2018,2453
Dec-15,3519,3009,1729,1918,2260
Jan-16,3644,3314,1586,1890,2210
Feb-16,3486,2905,1513,1792,1952
Mar-16,3254,2811,1452,1802,1974
Apr-16,3203,2702,1395,1721,2013
May-16,3195,2601,1366,1676,2176
Jun-16,3444,2762,1765,1867,2205
Jul-16,3621,2828,1552,1938,2062
Aug-16,3797,2871,1661,1965,2265
Sept-16,4769,3764,2070,2224,2793
Oct-16,4954,3891,2408,2209,2681
Nov-16,5146,4146,2248,2329,3317
Dec-16,5500,4262,2408,2570,3593
Jan-17,5352,4308,2670,2660,3294
Feb-17,5765,4593,2254,2608,3314
Mar-17,5653,4653,1846,2118,2782
Apr-17,5936,4751,1588,1913,2924
May-17,6185,4911,1859,1982,3233
Jun-17,6569,5631,2092,2156,3143
Jul-17,6596,5775,2264,2090,3111
Aug-17,6289,5747,2198,1966,3155
Sept-17,6402,5954,2026,1944,3100
Oct-17,6504,5837,1804,1895,3037
Nov-17,6894,5516,1931,1818,2852
Dec-17,6836,4575,1957,1774,2830
Jan-18,6405,4501,1866,1699,2886
Feb-18,6581,5277,2039,1932,3226
Mar-18,6245,5280,1959,2051,3232
Apr-18,5806,5494,1988,1849,3278
May-18,6032,5647,1990,1999,3231
Jun-18,6222,5581,2314,2051,3205
Jul-18,5937,5390,2480,1913,2905
Aug-18,5709,4802,2441,1972,2958
Sept-18,5316,4271,2474,2005,2821
Oct-18,5069,4016,2522,1982,2753
Nov-18,5044,4045,2568,1997,2655
Dec-18,4755,3745,2973,1970,2667
Jan-19,5137,4076,3252,2201,2705
Feb-19,5579,4445,3158,2534,3027
Mar-19,5837,4657,3480,2462,3186
Apr-19,5867,5374,3548,2468,3287
May-19,6217,5486,3242,2521,3249
Jun-19,5752,4805,2807,2436,3138
Jul-19,5433,4339,2500,2430,2969
Aug-19,5246,4165,2405,2482,3039
Sept-19,4988,4029,2476,2500,3076
Oct-19,4997,4125,2670,2674,3141
Nov-19,5191,4117,2786,2924,3254
Dec-19,4840,3983,2846,3068,3331
Jan-20,4929,4029,3040,3026,3150
Feb-20,4626,4258,2886,2907,3039
Mar-20,4302,4131,2718,2747,2952
Apr-20,4345,4263,2446,2514,2820
May-20,3973,3867,2107,2373,2745
Jun-20,3960,3631,2344,2530,2761
Jul-20,3981,3717,2417,2694,3208
Aug-20,3994,3438,2259,2583,3003
Sept-20,3852,3334,2356,2663,2884
Oct-20,4131,3561,2569,2865,3041
Nov-20,4002,3822,2617,2722,2985
Dec-20,4278,3986,2731,2889,3182
Jan-21,4604,4526,2876,3044,3306
Feb-21,5463,5028,3180,3198,3458
Mar-21,5929,5826,3144,3302,4364
Apr-21,6209,5776,3710,3367,4085
May-21,5730,5035,4222,3433,4115
Jun-21,5654,4690,3810,3415,4062
Jul-21,5632,4458,3298,3126,3864
Aug-21,5668,4589,3246,3020,3598
Sept-21,5970,4948,3287,3274,3691
Oct-21,5984,4878,3688,3315,3749
Nov-21,6384,5350,3513,3627,3921
Dec-21,6668,5791,3620,3721,4008
Jan-22,6668,5868,3654,3773,3866
Feb-22,6800,6359,4009,4051,4324
Mar-22,7048,7086,4217,4481,4757
Apr-22,6908,6891,4461,4599,4532
May-22,6008,5807,4203,4130,3916
Jun-22,6201,6068,4398,4240,4158
Jul-22,5706,5648,4064,4063,3961
Aug-22,5518,5194,3724,3524,3544
Sept-22,5677,5369,3537,3575,3610
Oct-22,5811,4983,3374,3497,3573
Nov-22,5562,4868,2973,2972,3279
Dec-22,5797,4725,2979,3102,3400
Jan-23,5395,4479,2556,2838,3208
Feb-23,5586,4745,2633,2829,3329
Mar-23,5340,4899,2521,2739,3277
Apr-23,4736,4595,2529,2579,3053
May-23,4832,4947,2468,2787,3230
Jun-23,4728,5088,2322,2755,3173
Jul-23,4579,4842,2189,2525,3149
Aug-23,4705,4680,2207,2454,2864
Sept-23,4561,4588,2215,2286,2702
Oct-23,4979,4806,2245,2558,2931
Nov-23,5489,4890,2323,2724,2971
Dec-23,5573,4936,2387,2671,3104
Jan-24,5595,5514,2384,2613,3290
Feb-24,6033,6516,2412,2758,3463
Mar-24,6637,6461,2504,2640,3286
Apr-24,6934,6592,2496,2550,3246
May-24,7124,6593,2545,2551,3350
