"","copper","nickel","lead","zinc","",Copper ,Nickel,Lead,Zinc
Jan-80,1147.9,6586.6,494,774,,,,,
Feb-80,1220.2,6977.2,510.5,870.4,,6.298458054,5.930221966,3.340080972,12.45478036
Mar-80,1045.5,6734.2,508.7,743.7,,-14.31732503,-3.482772459,-0.352595495,-14.55652574
Apr-80,937.1,6233.3,438.5,709.7,,-10.36824486,-7.438151525,-13.79988205,-4.571735915
May-80,888.9,6003.8,340.5,692.2,,-5.143527905,-3.681837871,-22.34891676,-2.465830633
Jun-80,858.5,6293.4,316.2,678.3,,-3.419957251,4.823611713,-7.136563877,-2.008090147
Jul-80,916.7,6623.1,341.7,713.4,,6.779266162,5.238821623,8.064516129,5.17470146
Aug-80,877.9,6589.7,359.9,769.2,,-4.232573361,-0.504295572,5.326309628,7.821698907
Sep-80,857.6,6655.5,367.7,796.5,,-2.312336257,0.998528006,2.167268686,3.549141966
Oct-80,846.2,6694.1,360.8,805.5,,-1.329291045,0.579971452,-1.87652978,1.129943503
Nov-80,839.5,6447.1,340,802.3,,-0.791774994,-3.689816405,-5.764966741,-0.397268777
Dec-80,800.4,6401.5,316.9,783.8,,-4.657534247,-0.707294753,-6.794117647,-2.305870622
Jan-81,777.4,6400.5,293.5,777.6,,-2.873563218,-0.015621339,-7.384032818,-0.791018117
Feb-81,784.9,6364.9,300.5,730.9,,0.964754309,-0.556206546,2.385008518,-6.005658436
Mar-81,814.3,6303,326.9,758.2,,3.745700089,-0.972521171,8.785357737,3.735121084
Apr-81,837,6308.3,348.8,824.8,,2.787670392,0.084086943,6.699296421,8.783962015
May-81,834,6343.9,333.7,850.6,,-0.358422939,0.564335875,-4.32912844,3.128031038
Jun-81,861,6165.4,361.1,840.1,,3.237410072,-2.813726572,8.210967935,-1.23442276
Jul-81,897.3,6149.1,418.6,865.8,,4.216027875,-0.264378629,15.92356688,3.059159624
Aug-81,981.4,6002.3,452.6,954.9,,9.372562131,-2.387341237,8.12231247,10.29106029
Sep-81,942.2,5582.2,420.8,939.8,,-3.994293866,-6.998983723,-7.026071586,-1.581317415
Oct-81,904.9,5216.4,389.3,892.7,,-3.958819783,-6.552971947,-7.485741445,-5.011704618
Nov-81,867.7,5100.6,350.1,876.8,,-4.110951486,-2.219921785,-10.06935525,-1.781113476
Dec-81,869.3,5492.1,354.3,846,,0.184395528,7.67556758,1.199657241,-3.512773723
Jan-82,853.6,5627.3,343.7,818.6,,-1.806050846,2.46171774,-2.991814846,-3.238770686
Feb-82,863.8,5716,334.6,822.8,,1.194939082,1.57624438,-2.647657841,0.513071097
Mar-82,836.3,5648.9,339.3,790.2,,-3.183607317,-1.173897831,1.404662283,-3.9620807
Apr-82,858.5,5398.8,324.3,742.4,,2.654549803,-4.427410646,-4.42086649,-6.049101493
May-82,843.6,5206.6,317.5,750.4,,-1.735585323,-3.560050382,-2.096823928,1.077586207
Jun-82,740.4,5189.5,296.4,692.1,,-12.23328592,-0.328429301,-6.645669291,-7.769189765
Jul-82,829.9,5067.4,318.3,723.5,,12.08806051,-2.352827825,7.388663968,4.536916631
Aug-82,841,4958.5,303.1,715.9,,1.337510543,-2.149031061,-4.775369149,-1.050449205
Sep-82,832.7,4307.4,301,749.7,,-0.986920333,-13.13098719,-0.692840647,4.721329795
Oct-82,861.4,3914.8,293.3,751.5,,3.446619431,-9.114547059,-2.558139535,0.240096038
Nov-82,884.3,3436.4,283.1,710.2,,2.658462967,-12.22029222,-3.477667917,-5.495675316
Dec-82,911.4,3572.9,277.2,669.2,,3.064570847,3.972180189,-2.084069233,-5.773021684
Jan-83,997.3,3796.2,301.7,698.2,,9.425060347,6.249825072,8.838383838,4.333532576
Feb-83,1074.3,4229,296.7,681.2,,7.720846285,11.40087456,-1.657275439,-2.434832426
Mar-83,1071.9,4829.3,297.5,678.5,,-0.223401285,14.19484512,0.269632626,-0.396359366
Apr-83,1090,4818.8,297.9,700.1,,1.688590354,-0.217422815,0.134453782,3.183492999
May-83,1122.8,5027.1,275.5,735.9,,3.009174312,4.322652943,-7.519301779,5.113555206
Jun-83,1098.6,4877.3,263.7,718.8,,-2.155325971,-2.979849217,-4.283121597,-2.323685283
Jul-83,1115.6,4800.5,264,740.1,,1.547423994,-1.574641708,0.113765643,2.96327212
Aug-83,1091,4854,264.9,808.9,,-2.205091431,1.114467243,0.340909091,9.296041076
Sep-83,1041,4911.2,270.1,838.1,,-4.582951421,1.178409559,1.963004908,3.609840524
Oct-83,958.4,4674.3,280.1,859.4,,-7.934678194,-4.82366835,3.702332469,2.541462833
Nov-83,940.4,4583.3,274.1,860.1,,-1.878130217,-1.946815566,-2.14209211,0.081452176
Dec-83,986.7,4655.5,280.4,857.3,,4.923436835,1.575284184,2.298431229,-0.325543541
Jan-84,978,4668.9,282.4,958,,-0.881726969,0.287831597,0.713266762,11.74617987
Feb-84,991.5,4646,280.6,998,,1.380368098,-0.490479556,-0.637393768,4.175365344
Mar-84,1030.9,4780.8,315.7,1041.2,,3.973777105,2.901420577,12.50890948,4.328657315
Apr-84,1078.1,4909.7,339,1005.2,,4.57852362,2.696201473,7.380424454,-3.457548982
May-84,1022.3,4815.2,326.1,1001.8,,-5.175772192,-1.924761187,-3.805309735,-0.338241146
Jun-84,991.2,4771.2,351.7,941.7,,-3.042159836,-0.913773052,7.850352653,-5.999201437
Jul-84,1007.9,4642.3,374,854.3,,1.684826473,-2.701626425,6.34063122,-9.281087395
Aug-84,1018.2,4737.3,355.9,834.4,,1.021926778,2.046399414,-4.839572193,-2.329392485
Sep-84,1029.3,4705.1,319.7,769.9,,1.090159104,-0.679712072,-10.17139646,-7.730105465
Oct-84,1043.5,4755.8,337.8,760.9,,1.379578354,1.077554143,5.66155771,-1.168982985
Nov-84,1085.1,4745.6,355.5,789.1,,3.986583613,-0.214474957,5.239786856,3.706137469
Dec-84,1113.5,4862.7,350.4,794.3,,2.617270298,2.467548887,-1.434599156,0.658978583
Jan-85,1205.5,4948.7,373.1,813.9,,8.262236192,1.768564789,6.478310502,2.467581518
Feb-85,1269.8,5051.5,336.9,862.8,,5.333886354,2.077313234,-9.702492629,6.008109104
Mar-85,1234.7,5214.2,312.8,910.5,,-2.764214837,3.220825497,-7.153457999,5.528511822
Apr-85,1212.7,5501.6,314.7,905,,-1.781809346,5.511871428,0.60741688,-0.604063701
May-85,1225.3,5611.3,301.2,825.3,,1.039003876,1.993965392,-4.289799809,-8.806629834
Jun-85,1118,5552.9,304,746.7,,-8.757039092,-1.040757044,0.929614874,-9.523809524
Jul-85,1067.5,5081.4,292,753.7,,-4.516994633,-8.491058726,-3.947368421,0.937458149
Aug-85,1025.7,4908.7,298.8,725,,-3.915690867,-3.398669658,2.328767123,-3.80788112
Sep-85,1001.4,4575.2,293.5,682.8,,-2.369113776,-6.794059527,-1.773761714,-5.820689655
Oct-85,973.8,4238.8,276.8,611.1,,-2.756141402,-7.352684036,-5.689948893,-10.50087873
Nov-85,950.9,4038,273.9,573.4,,-2.351612241,-4.737189771,-1.047687861,-6.169203076
Dec-85,962.4,4091.9,269.9,657.6,,1.209380587,1.334819217,-1.460387003,14.68433903
Jan-86,995.4,4034,258.7,610.9,,3.428927681,-1.414990591,-4.149685069,-7.101581509
Feb-86,982.8,3989.1,256.9,592.6,,-1.265822785,-1.113039167,-0.695786625,-2.995580291
Mar-86,984.4,4124.6,250.2,599.3,,0.162800163,3.396756161,-2.608018684,1.130610867
Apr-86,957.3,4046.2,246.6,613.3,,-2.752945957,-1.90079038,-1.438848921,2.336058735
May-86,932.3,4039.6,247.5,638.5,,-2.611511543,-0.16311601,0.364963504,4.108918963
Jun-86,937,4089.3,277.4,726.2,,0.504129572,1.230319834,12.08080808,13.73531715
Jul-86,891.7,3915.9,252,759.6,,-4.834578442,-4.240334532,-9.156452776,4.599283944
Aug-86,876.5,3810.3,263.9,774.7,,-1.704609173,-2.696698077,4.722222222,1.987888362
Sep-86,916.1,3725.9,277,839.6,,4.517969196,-2.215048684,4.964001516,8.377436427
Oct-86,922.9,3646,304.7,858.1,,0.742277044,-2.144448321,10,2.203430205
Nov-86,915.01,3644.6,332.5,781.6,,-0.854913858,-0.038398245,9.123728257,-8.915044867
Dec-86,927.61,3570.3,360.2,751.7,,1.377034131,-2.038632497,8.330827068,-3.825486182
Jan-87,893.81,3529.5,308.3,760.6,,-3.643772706,-1.142761113,-14.40866185,1.183982972
Feb-87,902.7,3716.1,301.3,740.3,,0.994618543,5.286867828,-2.270515731,-2.668945569
Mar-87,920.1,3773.3,305.9,731.8,,1.927550681,1.539248136,1.526717557,-1.148183169
Apr-87,909.3,3897.4,340.6,762.1,,-1.173785458,3.288898312,11.34357633,4.14047554
May-87,911.9,4435.5,416,838.7,,0.285934235,13.80664032,22.13740458,10.05117439
Jun-87,964.6,4436.9,386.4,878.6,,5.77914245,0.031563522,-7.115384615,4.757362585
Jul-87,1052.8,4754.3,412.4,830,,9.143686502,7.15364331,6.728778468,-5.53152743
Aug-87,1097.5,5303.7,412.2,803.6,,4.245820669,11.5558547,-0.048496605,-3.180722892
Sep-87,1100.7,5336,393.3,757.1,,0.291571754,0.609008805,-4.585152838,-5.786460926
Oct-87,1182.7,5693.2,361.9,769.8,,7.44980467,6.694152924,-7.983727435,1.677453441
Nov-87,1419.9,5943.4,361.7,848.7,,20.05580452,4.394716504,-0.055263885,10.24941543
Dec-87,1566.6,7652.7,360.4,865.4,,10.3317135,28.75963253,-0.359413879,1.967715329
Jan-88,1476.8,8068,370.2,877.9,,-5.732158815,5.426842814,2.719200888,1.444418766
Feb-88,1324.3,8666.9,373,875.7,,-10.32638137,7.423153198,0.75634792,-0.250598018
Mar-88,1286.3,15496.8,353.9,983.9,,-2.869440459,78.8044168,-5.120643432,12.35582962
Apr-88,1216.5,18011.8,345.7,1068.9,,-5.426416855,16.22915699,-2.317038712,8.639089338
May-88,1307.1,17025,356.9,1175.8,,7.447595561,-5.478630675,3.239803298,10.00093554
Jun-88,1428.8,15589.7,381.8,1365.6,,9.310687782,-8.430543319,6.976744186,16.14220105
Jul-88,1297.5,14591.5,363.2,1236.8,,-9.189529675,-6.402945535,-4.871660555,-9.431751611
Aug-88,1296.2,14187.1,354.5,1309.8,,-0.100192678,-2.771476545,-2.395374449,5.90232859
Sep-88,1445.7,11878.4,362.1,1330.3,,11.53371393,-16.27323414,2.143864598,1.565124446
Oct-88,1689.4,11557.5,376.8,1519.7,,16.85688594,-2.701542295,4.05965203,14.23739006
Nov-88,1826.2,13342.1,382.3,1559,,8.097549426,15.44105559,1.459660297,2.586036718
Dec-88,1915.3,16920,400.4,1595,,4.878983682,26.81661807,4.7345017,2.309172547
Jan-89,1912.6,17725,381,1773.9,,-0.140970083,4.757683215,-4.845154845,11.21630094
Feb-89,1765,18523.8,354.5,2006.3,,-7.717243543,4.506629055,-6.955380577,13.10107672
Mar-89,1904.1,17157.1,343.9,1972.2,,7.88101983,-7.378075773,-2.990126939,-1.699646115
Apr-89,1832.3,15261.3,357.5,1679.7,,-3.770810357,-11.04965291,3.954637976,-14.83115303
May-89,1679.1,13454.2,394.5,1726.7,,-8.361076243,-11.84106203,10.34965035,2.798118712
