"","amf","but","bmp","smp","wmp"
"1",5324,4701,3495,3462,3790
"2",5000,4450,3250,3250,3600
"3",4620,4126,3083,3067,3224
"4",4450,4000,3000,2900,3100
"5",4302,3824,2905,2770,2974
"6",4450,3950,3050,3000,3250
"7",4681,4111,3198,3197,3522
"8",5189,4569,2992,3229,3602
"9",5256,4661,3072,3221,3521
"10",5196,4568,3033,3072,3484
"11",5394,4733,3011,3021,3495
"12",5341,4727,3113,3096,3447
"13",5333,4665,3034,3060,3556
"14",5380,4707,3020,3128,3620
"15",5984,5348,3390,3492,3750
"16",5946,5330,3880,3579,3780
"17",6486,5866,3880,3913,3995
"18",6324,5583,3940,3898,4320
"19",6424,5587,4040,3977,4619
"20",6111,5438,3845,3816,4105
"21",5985,5390,3775,3763,3878
"22",5951,5348,3785,3771,3912
"23",5670,5151,3905,3909,3859
"24",5340,4810,3829,3824,3863
"25",5669,5337,4317,4372,3780
"26",5346,4863,3985,3994,3888
"27",5278,4799,3335,3704,3638
"28",4614,4165,3345,3488,3475
"29",4297,3864,3319,3479,3474
"30",4273,3862,3420,3438,3385
"31",4353,3967,2988,3444,3314
"32",3846,3406,2985,3230,3345
"33",3703,3273,3075,3193,3309
"34",3645,3176,3019,3292,3503
"35",3309,2866,2934,3292,3487
"36",3571,3100,3039,3354,3574
"37",4013,3515,3410,3424,3637
"38",4183,3656,3280,3312,3589
"39",3982,3466,3585,3269,3554
"40",4084,3586,3430,3351,3562
"41",3942,3445,3430,3296,3533
"42",3546,3104,3277,3259,3421
"43",3631,3167,3217,3194,3409
"44",3284,2853,3146,3125,3316
"45",3583,3153,3094,3078,3227
"46",3304,2969,2870,2871,2847
"47",2852,2524,2736,2730,2776
"48",2499,2228,2572,2573,2546
"49",3096,2853,2456,3011,2763
"50",3092,2742,2509,2834,2886
"51",2745,2385,2483,2599,2760
"52",2845,2591,2662,2727,2584
"53",2804,2543,2416,2805,2675
"54",3173,2888,2668,3023,2870
"55",3530,3245,3091,3211,2978
"56",3199,2954,3029,3339,3036
"57",2982,2689,3144,3309,3167
"58",2879,2499,3289,3325,3421
"59",3026,2706,3510,3449,3352
"60",3066,2757,3615,3402,3276
"61",3197,2908,3615,3362,3170
"62",3180,2920,3600,3419,3147
"63",3169,2941,3640,3572,3199
"64",3253,2979,3405,3552,3288
"65",3500,3142,3530,3554,3468
"66",3635,3726,3318,3592,3654
"67",3820,4081,4200,3759,4298
"68",4416,4550,3904,4050,5116
"69",4695,4425,4595,5142,5100
"70",4964,4721,3982,4757,5245
"71",4675,4409,4500,4280,4721
"72",4598,3846,3876,4252,4722
"73",4478,3743,4410,4164,4643
"74",4589,3925,4315,4284,4668
"75",4645,3707,4610,4441,4757
"76",4742,3693,4826,4566,5058
"77",4612,3499,4641,4451,5021
"78",4931,3614,4689,4426,5124
"79",5109,3710,4566,4420,5058
"80",4940,3911,4805,4330,5096
"81",5062,3915,4695,4491,5208
"82",5007,3780,4680,4541,5058
"83",5343,3529,4524,4559,4891
"84",5255,3583,4753,4583,4870
"85",5395,3750,4630,4791,5035
"86",5668,4051,5070,4868,4958
"87",5538,4223,4539,4688,4934
"88",5641,4657,5244,4698,4943
"89",5569,4745,4775,4746,5005
"90",5314,4586,5355,4780,4999
"91",5126,4746,4792,4658,4703
"92",4578,4534,5253,4584,4439
"93",4062,4040,4211,4126,4033
"94",4086,3832,4075,3969,3990
"95",4170,3892,3713,3873,3928
"96",4255,3667,3950,3733,3877
"97",4058,3634,3628,3863,3594
"98",3898,3699,4535,3855,3658
"99",3606,3181,4135,3810,3459
"100",3250,3144,4426,3516,3088
"101",3457,2800,3852,3264,2725
"102",3566,2940,3886,2874,2804
"103",3360,2753,3174,2600,2673
"104",3264,2698,3140,2619,2692
"105",3117,2514,2723,2540,2443
"106",3346,2614,2685,2462,2503
"107",3292,2505,2426,2457,2522
"108",3490,2656,2511,2299,2400
"109",3817,2849,2560,2423,2229
"110",4200,3145,2466,2320,2270
"111",4493,3558,2736,2386,2307
"112",4286,3564,2559,2389,2402
"113",4067,3783,2436,2598,2874
"114",4314,3823,2674,2744,3272
"115",4237,3912,2681,2935,3241
"116",3877,3555,2635,2731,2928
"117",3663,3259,2130,2467,2538
"118",3744,3026,2208,2253,2446
"119",3505,3005,1748,2048,2386
"120",3337,2911,1930,1992,2390
"121",3112,2619,1795,1982,2309
"122",2814,2707,1975,1978,2327
"123",2855,2694,1878,1875,2054
"124",2621,2460,1794,1702,1848
"125",2253,2293,1700,1419,1590
"126",2724,2541,1400,1521,1856
"127",3029,2746,1829,1698,2078
"128",3440,3108,1719,1992,2495
"129",3763,3037,1945,2267,2824
"130",3856,2850,2064,2178,2694
"131",3647,2574,1844,2018,2453
"132",3430,2709,1825,1851,2148
"133",3519,3009,1729,1918,2260
"134",3721,3136,1564,1891,2304
"135",3644,3314,1586,1890,2210
"136",3724,3162,1620,1835,2188
"137",3486,2905,1513,1792,1952
"138",3527,2834,1496,1762,1890
"139",3254,2811,1452,1802,1974
"140",3014,2733,1545,1731,1971
"141",3203,2702,1395,1721,2013
"142",3240,2746,1460,1727,2156
"143",3195,2601,1366,1676,2176
"144",3340,2697,1545,1658,2252
"145",3444,2762,1765,1867,2205
"146",3619,2910,1695,1901,2118
"147",3621,2828,1552,1938,2062
"148",3628,2687,1565,1927,2079
"149",3797,2871,1661,1965,2265
"150",4148,3274,1983,2028,2695
"151",4769,3764,2070,2224,2793
"152",4998,3892,2276,2293,2782
"153",4954,3891,2408,2209,2681
"154",5007,3984,2583,2204,2760
"155",5146,4146,2248,2329,3317
"156",5348,4193,2623,2562,3423
"157",5500,4262,2408,2570,3593
"158",5367,4290,2874,2621,3568
"159",5352,4308,2670,2660,3294
"160",5528,4382,2783,2612,3283
"161",5765,4593,2254,2608,3314
"162",5693,4598,2090,2574,3189
"163",5653,4653,1846,2118,2782
"164",5799,4910,1846,1948,2855
"165",5936,4751,1588,1913,2924
"166",5930,4892,1720,2044,2998
"167",6185,4911,1859,1982,3233
"168",6631,5479,1980,1998,3312
"169",6569,5631,2092,2156,3143
"170",6885,5768,2092,2218,3022
"171",6596,5775,2264,2090,3111
"172",6577,6004,2264,2024,3114
"173",6289,5747,2198,1966,3155
"174",6199,5735,2198,1968,3143
"175",6402,5954,2026,1944,3100
"176",6764,6026,2026,1920,3122
"177",6504,5837,1804,1895,3037
"178",6841,5736,1804,1797,3014
"179",6894,5516,1931,1818,2852
"180",6887,5144,1931,1701,2778
"181",6836,4575,1957,1774,2830
"182",6392,4474,1957,1675,2755
"183",6405,4501,1866,1699,2886
"184",6547,4897,1866,1818,3010
"185",6581,5277,2039,1932,3226
"186",6458,5334,2039,1832,3246
"187",6245,5280,1959,2051,3232
"188",6249,5281,1959,1887,3226
"189",5806,5494,1988,1849,3278
"190",6120,5654,1988,1913,3311
"191",6032,5647,1990,1999,3231
"192",6354,5787,1990,2047,3226
"193",6222,5581,2314,2051,3205
"194",6060,5611,2314,2003,3189
"195",5937,5390,2480,1913,2905
"196",5629,4953,2225,1959,2973
"197",5709,4802,2441,1972,2958
"198",5321,4392,2441,1951,2883
"199",5316,4271,2474,2005,2821
"200",5294,4270,2474,1980,2768
"201",5069,4016,2522,1982,2753
"202",5106,4114,2522,1977,2729
"203",5044,4045,2568,1997,2655
"204",4577,3637,2568,1965,2599
"205",4755,3745,2973,1970,2667
"206",4936,3928,2973,2042,2674
"207",5137,4076,3252,2201,2705
"208",5294,4262,3252,2405,2777
"209",5579,4445,3158,2534,3027
"210",5620,4495,3158,2580,3022
"211",5837,4657,3480,2462,3186
"212",5662,5089,3480,2405,3317
"213",5867,5374,3548,2468,3287
"214",6126,5544,3548,2462,3269
"215",6217,5486,3242,2521,3249
"216",6140,5297,3242,2529,3180
"217",5752,4805,2807,2436,3138
"218",5530,4553,2807,2358,3006
"219",5433,4339,2500,2430,2969
"220",5523,4406,2500,2505,3074
"221",5246,4165,2405,2482,3039
"222",5061,4025,2405,2478,3100
"223",4988,4029,2476,2500,3076
"224",5030,4129,2476,2599,3133
"225",4997,4125,2670,2674,3141
"226",5065,4105,2670,2743,3133
"227",5191,4117,2786,2924,3254
"228",5108,4061,2786,3017,3321
"229",4840,3983,2846,3068,3331
"230",4866,3886,2846,2867,3099
"231",4929,4029,3040,3026,3150
"232",4821,4250,3040,3036,3233
"233",4626,4258,2886,2907,3039
"234",4379,4090,2886,2840,2966
"235",4302,4131,2718,2747,2952
"236",4331,4144,2718,2527,2797
"237",4345,4263,2446,2514,2820
"238",4083,4117,2446,2380,2707
"239",3973,3867,2107,2373,2745
"240",4079,3803,2107,2549,2677
"241",3960,3631,2344,2530,2761
"242",3993,3597,2344,2609,2829
"243",3981,3717,2417,2694,3208
"244",3870,3533,2417,2680,3218
"245",3994,3438,2259,2583,3003
"246",3873,3370,2259,2608,2936
"247",3852,3334,2356,2663,2884
"248",3910,3282,2356,2889,2985
"249",4131,3561,2569,2865,3041
"250",4110,3678,2569,2851,3037
"251",4002,3822,2617,2722,2985
"252",4175,3838,2617,2799,3037
"253",4278,3986,2731,2889,3182
"254",4360,4221,2731,2930,3210
