Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM,LLY,V,CAT,BAC,GE,PG,ABBV,HD,PM,MRK
Jan-14,0.029219224,0.037455197,0.014196929,0.041256923,0.026372832,0.010047594,0.010406711,0.056250152,0.000269151,0.044596354,0.103684548,0.048786196,0.032584362,-0.013134287,0.013529615,0.026624913,0.03412554,0.067404039,0.035449249,0.075892064
Feb-14,-0.026605647,0.079374676,-0.015620306,0.066326531,0.068461809,0.012041885,0.030267998,0.000312103,0.023156813,0.014646307,-0.012581781,-0.044613622,0.024749938,0.040532368,0.016489999,0.02466304,0.009624861,-0.035352939,0.011865023,-0.00386038
Mar-14,0.028129731,0.031047451,-0.024595667,0.031151379,-0.077911382,0.055095706,0.034173212,-0.026152613,0.042914226,0.048423423,0.004077436,-0.061382377,0.060682285,-0.119767461,0.03862493,0.024193606,0.013229578,0.004802286,0.04348354,0.031530813
Apr-14,0.048287087,-0.003958091,-6.26E-05,0.001678349,-0.007324044,0.002941898,0.000493194,-0.052748728,-0.03688412,-0.018357582,0.012859597,0.060312922,-0.030075884,0,-0.00371877,-0.021320437,0.043202763,0.00905548,0.036404081,-0.011953607
May-14,-0.059297597,-0.013869409,0.047744196,0.031145279,0.036890408,0.035443657,-0.006802721,0.001687565,-0.022141721,0.001492092,0.038590002,-0.019177932,0.062995154,0.015191515,-0.019037029,-0.027231149,0.038836678,0.009098787,-0.047775054,-0.000172805
Jun-14,-0.053053525,-0.008928571,0.032429527,-0.04329956,0.000867754,-0.072474032,-0.061346039,-0.033019136,-0.019849659,-0.017282479,-0.01785422,0.0014237,-0.072881184,-0.00780741,-0.042998454,-0.016159775,-0.07264349,-0.001358703,-0.027280222,-0.019187587
Jul-14,0.052456839,0.094235829,0.036096489,0.036367269,0.030865268,0.061847798,-0.008883249,0.024042314,0.026094331,0.005255711,0.040943334,0.007156105,0.082580642,0.055081977,0.033001981,0.074883613,0.056171162,0.156462607,0.043531272,0.059393723
Aug-14,0.004574132,0.006484517,0.024900899,0.02757158,0.013288478,0.02253116,0.011630388,0.006123409,0.012846494,-0.054393726,0.020295737,0.00399958,-0.092050985,0.05966433,-0.013856778,0.007580282,0.044862511,-0.018823552,-0.025473244,-0.013808016
Sept-14,-0.019390799,0.014622846,0.034973035,0.011164274,0.003984064,-0.018284107,-0.011391203,0.012850105,-0.00261282,0.028282828,0.022821949,0.131508639,0.024033171,0.006451649,0.007416061,0.042154274,0.098684227,0.06300413,0.067266193,-0.022604581
Oct-14,0.075654471,0.060859018,-0.008316227,0.004360735,-0.005291005,0.070439351,0.032860344,0.040065373,0.147763255,-0.063798987,0.026986294,0.06941975,-0.007987429,-0.006992945,0.02634638,0.036209508,0.090450645,0.019278148,-0.023368181,0.042457714
Nov-14,-0.032598988,0.009819087,0.028767051,-0.033995381,0.040226064,-0.058219942,-0.03212478,0,-0.018961812,0.021095648,0.012771507,0.015531236,-0.090159044,0.049882537,-0.046055096,0.007298419,-0.054335183,0.056036213,-0.063039265,-0.059768211
Dec-14,0.118402831,-0.041558442,-0.110509209,-0.042363967,-0.131032279,-0.02486973,-0.013447172,0.003210447,-0.010479837,-0.054407788,0.043629544,-0.027803235,-0.126297364,-0.153158181,-0.054610271,-0.074651396,-0.077781231,-0.005239621,-0.014855729,0.061454515
Jan-15,0.037696911,0.024320756,0.100806218,0.023666866,0.126884884,0.051736701,0.069883167,0.098239905,-0.012355965,0.012811714,-0.025416692,0.064336408,0.036638743,0.04356441,0.087902948,0.009965551,0.002485527,0.098927428,0.033898321,-0.028865289
Feb-15,-0.005104408,-0.020961943,-0.009589546,-0.018632329,-0.011422977,-0.063510393,-0.014762386,0.013696609,-0.020016871,-0.039981929,0.035342788,-0.035641823,-0.034620057,-0.026565469,-0.04540213,-0.037472042,-0.032396679,-0.009934635,-0.091972003,-0.018107301
Mar-15,-0.044909382,-0.021549335,0.044953982,-0.013916501,0.044239023,0.000246609,-0.009133826,-0.024721643,-0.051064326,0.027882353,-0.01073639,0.009784427,0.085592885,0.035087716,0.091495407,-0.029655849,0.104543947,-0.058357514,0.108057868,0.036186513
Apr-15,-0.019673504,0.012676156,0.049740352,0.009475806,0.039835599,0.009861933,-0.006421543,0.024169955,-0.04843099,-0.024836901,0.097815479,0.039818276,-0.017955774,0.035781524,0.007016288,-0.014086313,0.029848323,0.041503035,-0.004792159,0.02233044
May-15,-0.012809564,-0.048181818,0.012609729,-0.026762532,0.030100334,-0.042236328,-0.00896487,-0.035107904,-0.04497019,-0.023474178,0.058174857,-0.02227721,-0.005860291,0.031515179,-0.025669288,-0.001913529,0.009010454,-0.002602773,-0.034910335,-0.065035365
Jun-15,0.039287774,0.048710602,-0.017816945,0.028216704,0.011363636,0.047157787,0.050383928,0.075454305,0.014803473,-0.047956731,0.012217083,0.121965668,-0.0729781,0.050528712,-0.017689091,-0.019683039,0.041970525,0.05309099,0.066857936,0.035657831
Jul-15,-0.093570091,-0.060949979,-0.080314039,-0.062169444,-0.064643222,-0.042843233,-0.048467855,-0.106491219,-0.100720624,-0.050119934,-0.025559148,-0.053623487,-0.0278519,-0.086129702,-0.049042171,-0.078617979,-0.10855595,-0.004870543,-0.066993988,-0.086668921
Aug-15,0.002066116,-0.027156073,-0.078685048,-0.006703554,-0.048829953,0.02034588,0.036939592,-0.025138412,0.00169629,-0.011828814,0.016272058,-0.023001393,-0.144950307,-0.046511641,0.016116052,0.017970911,-0.128184586,-0.008329051,-0.005889739,-0.082822596
Sept-15,0.130736922,0.04309816,0.079074586,0.082271023,0.053796949,0.05558325,0.13924693,0.076728542,-0.117211321,0.112844654,-0.025331613,0.113695058,0.116738023,0.077021872,0.146708952,0.061718024,0.094467918,0.070568895,0.114332528,0.106701747
Oct-15,-0.017694334,-0.01418909,0.01344,0.002078591,0.037821012,0.006375443,0.01701559,-0.031048325,0.027951027,-0.013052937,0.005761937,0.018432589,-0.004658122,0.038736567,0.03526974,-0.020162359,-0.023509618,0.082821138,-0.011425363,-0.030186628
Nov-15,-0.005912685,-0.015288239,-0.051520893,0.014618728,-0.00974805,0.007977475,0.03486335,-0.014952856,0.041808791,-0.04543228,0.027059985,-0.018478661,-0.064556123,-0.034423429,0.040414119,0.061063703,0.018744628,-0.012175118,0.005950386,-0.003584221
Dec-15,-0.169167992,-0.01719176,-0.103589857,0.016744548,-0.098894442,-0.000931099,0.04773997,-0.055451343,0.082547435,-0.001282874,-0.061239064,-0.039458479,-0.08416712,-0.159833606,-0.065810573,0.028711732,-0.07326131,-0.049073708,0.023888049,-0.040704322
Jan-16,-0.016232415,0.033906142,-0.0744615,0.007372654,-0.053781513,0.004892824,-0.053239619,-0.026893402,-0.000302896,0.029543995,-0.08975978,-0.028191684,0.087724857,-0.114568589,0.001374561,-0.017137979,-0.005282348,-0.013040707,0.011332037,-0.009078334
Feb-16,0.074124217,0.057464411,0.049822778,0.028419352,0.051865009,0.075585439,0.072446454,-0.001013308,0.032410653,0.042919526,0.000138919,0.056499572,0.130576135,0.079872202,0.090940231,0.025158757,0.045962247,0.075007974,0.077776578,0.05377415
Mar-16,0.061919017,0.025373555,0.045419799,0.035859519,0.067207025,-0.034274628,0.00644494,0.103576157,-0.023653295,0.057542768,0.048882052,0.009937166,0.015416779,0.076923071,-0.032714665,-0.026606668,0.067927191,0.003447551,0.000101948,0.036477022
Apr-16,-0.064169139,-0.033956558,-0.028212784,0.005442541,0.032753165,-0.004464286,-0.035022531,0.060840316,0.058470691,0.007013575,-0.006619886,0.022009381,-0.067035499,0.015796671,-0.016910556,0.011482753,0.031639349,-0.013219839,0.005707272,0.025893501
May-16,0.029488704,0.030240501,-0.068347128,0.076404295,-0.04795465,0.016367713,-0.01409143,0.014695734,0.031649084,0.053021793,0.049580185,-0.060425692,0.0455109,-0.10277211,0.041349709,0.044792661,-0.016208493,-0.03353007,0.030806657,0.023995771
Jun-16,0.029183029,-0.003591408,0.068851797,0.032399011,0.02944963,-0.037502758,-0.022353332,0.047715064,-0.000686119,-0.051098784,0.052571421,0.052312323,0.091676623,0.091936644,-0.010800585,0.010865693,0.069778768,0.082621997,-0.014353117,0.018225983
Jul-16,-0.03149783,0.043113606,0.067061268,-0.047033458,0.055182117,-0.004584002,-0.016914577,-0.056654437,-0.020967722,-0.02034851,-0.062009886,0.036515033,-0.009787399,0.113871611,0.003211333,0.020095821,-0.032160724,-0.029803315,-0.00329146,0.070405764
Aug-16,0.017690228,-0.040002658,-0.048329989,-0.010139098,-0.013481481,-0.02555837,-0.002593809,-0.026724303,0.00951997,0.00160661,0.032282986,0.022249634,0.083221476,-0.030359343,-0.051856591,0.027946427,-0.016068624,-0.040560712,-0.027118974,-0.006051969
Sept-16,0.081144679,-0.001176715,0.105227259,-0.018115635,0.040096111,0.001890359,-0.02418516,-0.063774056,-0.029118379,-0.045371219,-0.079990103,-0.002297398,-0.059817481,0.054313125,-0.017555691,-0.032869047,-0.115585872,-0.051833936,-0.008023028,-0.05912514
Oct-16,0.057080671,0.091060291,0.230307451,-0.04043452,0.157522379,-0.048349057,0.059518522,0.013559773,0.005852664,0.047767643,-0.091007502,-0.062901494,0.144979614,0.280000051,0.05704466,-0.050000044,0.089996425,0.060568737,-0.08461223,0.042064075
Nov-16,0.034006376,0.035188008,0.091933057,0.035130279,0.076337782,0.027509294,0.020541628,0.010578624,-0.0185974,0.033906071,0.09579857,0.009053246,-0.029510253,0.046401492,0.02730821,0.019645922,0.029934206,0.036166987,0.036361567,-0.037914706
Dec-16,0.049717369,0.007117438,-0.042305283,-0.017012412,-0.019237455,0.00265316,0.00698324,-0.023089115,-0.034436063,-0.070573898,0.047314692,0.060112825,0.031485938,0.024434344,-0.060126618,0.04186485,-0.024113675,0.026103818,0.05071592,0.052998152
Jan-17,0.102863787,0.044352382,0.081719867,0.079116998,0.070778684,0.009381766,0.041445704,0.075322905,0.062783192,-0.030635356,0.075035686,0.063233024,0.01045369,0.09010605,0.003703758,0.039611887,0.011945664,0.053278105,0.137522122,0.062590731
Feb-17,-0.01869833,-0.027651383,-0.073933726,0.019147369,-0.030677555,0.011439466,0.015354485,0.002637266,0.016211918,0.008484998,0.015698624,0.010575395,-0.040347624,-0.044165322,-0.000335482,-0.013396302,0.053686991,0.01324959,0.032464592,-0.035372694
Mar-17,0.045063892,-0.008819294,-0.025770503,-0.008671216,-0.009562842,0.0167295,0.079623486,-0.008476876,0.043006859,-0.004389709,-0.024372881,0.026443101,0.102414832,-0.010597711,-0.02718126,-0.028046708,0.011970515,0.063134265,-0.018246281,-0.019043169
Apr-17,0.015149056,0.000423703,-0.056032172,0.038713858,-0.055747126,0.053765933,0.078324877,-0.037441105,0.045491367,-0.014084507,-0.030343626,0.043959681,0.030999395,-0.039845771,-0.055536366,0.008702559,0.001213136,-0.016592002,0.080837306,0.044601382
May-17,0.053935938,0.024745886,0.05036448,0.031500975,0.112598904,-0.013635364,0.015044072,0.02878781,-0.03714928,0.002857143,0.034309455,-0.015226342,0.01925447,0.08255245,-0.013513449,-0.010670846,0.098303633,-0.00071657,-0.019616077,-0.015665848
Jun-17,0.226093552,0.033063707,0.015457413,0.003250435,0.004376368,0.022073579,0.012927657,-0.012800864,0.056952241,-0.008547009,0.004374248,0.061633598,0.060394546,-0.005770791,-0.051832705,0.042111281,-0.035857101,-0.02477176,-0.006300535,-0.003276651
Jul-17,-0.011548297,0.035377493,-0.007056317,-0.002637131,-0.009912854,-0.006326353,0.03113317,0.022921041,-0.02400321,-0.046351824,-0.01657395,0.039775002,0.031066266,-0.009535715,-0.041390106,0.015965613,0.077099115,0.001804739,0.001885025,-0.00031304
Aug-17,0.060711007,0.011923162,0.060114419,-0.017828813,0.050830674,-0.011855104,-0.020566356,0.05247477,0.000895358,0.0740207,0.052281953,0.016615159,0.06145205,0.060694885,-0.015071276,-0.013980637,0.180079642,0.091345852,-0.050628565,0.002662051
Sept-17,0.014830258,0.019746891,0.022302795,0.072302131,0.05339755,0.021550766,0.065292316,-0.017927533,0.11735211,0.016711393,-0.042085556,0.045039962,0.088926342,0.080899733,-0.166253072,-0.051000295,0.015642577,0.013573008,-0.057382241,-0.139622028
Oct-17,0.072951392,0.032470311,0.021280106,-0.000573847,0.038862936,-0.004567203,0.030315739,0.034228872,0.113620589,-0.000719856,0.032950901,0.023731523,0.039396103,0.028477572,-0.092757963,0.042274747,0.073905797,0.084690606,-0.018061921,0.003267327
Nov-17,0.065426301,0.02699342,0.028751413,0.00279911,0.023153463,0.002403321,0.000872245,-0.001105529,0.015631123,0.004202185,-0.002126658,0.012700953,0.116401053,0.047923336,-0.045926766,0.021002327,-0.002166726,0.053998393,0.028223859,0.018093042
Dec-17,0.201620833,0.081525578,0.051538703,-0.010950472,0.081634561,0.037271142,-0.005693702,0.022641817,0.079495569,0.043758967,-0.035638198,0.089545755,0.032999092,0.084010823,-0.073352386,-0.06029605,0.160376407,0.059990477,0.014955057,0.052958914
Jan-18,0.022123769,-0.03349193,-0.018515062,-0.060134597,-0.001469698,-0.091826014,-0.078298469,-0.019708306,-0.155629978,-0.132416953,-0.054389202,-0.010383972,-0.050067539,0.003124952,-0.127396415,-0.090572157,0.032168959,-0.092732654,-0.034318756,-0.084894506
Feb-18,-0.094779272,-0.037258687,-0.042102461,-0.013319988,-0.047878788,0.004858862,-0.008621783,-0.02258564,-0.011552178,-0.014919461,0.004544354,-0.02700504,-0.046886114,-0.06573205,-0.044649157,0.00967909,-0.182854183,-0.022110049,-0.040077271,0.004610819
Mar-18,0.017323411,-0.028824945,-0.053720321,-0.01295357,-0.010821133,-0.005065623,0.070725157,0.031558109,-0.005732321,0.042085511,0.047822112,0.060692145,-0.020491275,-0.002334101,0.043768536,-0.087537873,0.020073972,0.036804294,-0.175050314,0.080778443
Apr-18,0.055762082,-0.011356011,-0.052238493,-0.054312594,-0.016271373,-0.004859986,-0.044374104,-0.018574014,-0.066922378,0.04488746,0.048970041,0.030264849,0.052299827,-0.029411737,0.000710671,0.011473623,0.024754006,0.009469697,-0.029999989,0.011211164
