Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM,LLY,V,CAT,BAC,GE,PG,ABBV,HD,PM,MRK,AAPL,MSFT,AMZN,GOOGL,CSCO,QCOM,UNH,COST,CVX,NEE
Jan-14,0.029219224,0.037455197,0.014196929,0.041256923,0.026372832,0.010047594,0.010406711,0.056250152,0.000269151,0.044596354,0.103684548,0.048786196,0.032584362,-0.013134287,0.013529615,0.026624913,0.03412554,0.067404039,0.035449249,0.075892064,0.051218646,0.012420751,0.009506806,0.029365709,-0.005020566,0.014416595,0.06903705,0.039515863,0.033145254,-0.005874045
Feb-14,-0.026605647,0.079374676,-0.015620306,0.066326531,0.068461809,0.012041885,0.030267998,0.000312103,0.023156813,0.014646307,-0.012581781,-0.044613622,0.024749938,0.040532368,0.016489999,0.02466304,0.009624861,-0.035352939,0.011865023,-0.00386038,0.019952872,0.069955631,-0.071057667,-0.083198336,0.028440406,0.047416651,0.061084527,-0.043835639,0.031041375,0.046285189
Mar-14,0.028129731,0.031047451,-0.024595667,0.031151379,-0.077911382,0.055095706,0.034173212,-0.026152613,0.042914226,0.048423423,0.004077436,-0.061382377,0.060682285,-0.119767461,0.03862493,0.024193606,0.013229578,0.004802286,0.04348354,0.031530813,0.099396262,-0.014393758,-0.09584686,-0.041112028,0.030776116,-0.001902124,-0.0847664,0.035816619,0.055588199,0.044237561
Apr-14,0.048287087,-0.003958091,-6.26E-05,0.001678349,-0.007324044,0.002941898,0.000493194,-0.052748728,-0.03688412,-0.018357582,0.012859597,0.060312922,-0.030075884,0,-0.00371877,-0.021320437,0.043202763,0.00905548,0.036404081,-0.011953607,0.072717781,0.013366264,0.027685498,0.068744429,0.065339688,0.02210644,0.061167328,0.002939111,-0.021749489,-0.024937385
May-14,-0.059297597,-0.013869409,0.047744196,0.031145279,0.036890408,0.035443657,-0.006802721,0.001687565,-0.022141721,0.001492092,0.038590002,-0.019177932,0.062995154,0.015191515,-0.019037029,-0.027231149,0.038836678,0.009098787,-0.047775054,-0.000172805,0.027661906,0.018563805,0.039129788,0.022776141,0.009341979,-0.015537602,0.026623167,-0.007412455,0.063197346,0.05258836
Jun-14,-0.053053525,-0.008928571,0.032429527,-0.04329956,0.000867754,-0.072474032,-0.061346039,-0.033019136,-0.019849659,-0.017282479,-0.01785422,0.0014237,-0.072881184,-0.00780741,-0.042998454,-0.016159775,-0.07264349,-0.001358703,-0.027280222,-0.019187587,0.028731283,0.035011968,-0.036301522,-0.008757029,0.015291716,-0.069191868,-0.008562654,0.020666874,-0.010034451,-0.083821269
Jul-14,0.052456839,0.094235829,0.036096489,0.036367269,0.030865268,0.061847798,-0.008883249,0.024042314,0.026094331,0.005255711,0.040943334,0.007156105,0.082580642,0.055081977,0.033001981,0.074883613,0.056171162,0.156462607,0.043531272,0.059393723,0.072175749,0.052595006,0.083229482,0.004848559,-0.009512476,0.032284281,0.069463258,0.030117414,0.001624818,0.048567447
Aug-14,0.004574132,0.006484517,0.024900899,0.02757158,0.013288478,0.02253116,0.011630388,0.006123409,0.012846494,-0.054393726,0.020295737,0.00399958,-0.092050985,0.05966433,-0.013856778,0.007580282,0.044862511,-0.018823552,-0.025473244,-0.013808016,-0.017073171,0.020471061,-0.048961771,0.010388755,0.007202893,-0.017477028,-0.004960779,0.035018152,-0.078254133,-0.046419501
Sept-14,-0.019390799,0.014622846,0.034973035,0.011164274,0.003984064,-0.018284107,-0.011391203,0.012850105,-0.00261282,0.028282828,0.022821949,0.131508639,0.024033171,0.006451649,0.007416061,0.042154274,0.098684227,0.06300413,0.067266193,-0.022604581,0.071960298,0.012726491,-0.05266096,-0.034907647,-0.027810916,0.050020137,0.101565242,0.064235521,0.005279897,0.067533065
Oct-14,0.075654471,0.060859018,-0.008316227,0.004360735,-0.005291005,0.070439351,0.032860344,0.040065373,0.147763255,-0.063798987,0.026986294,0.06941975,-0.007987429,-0.006992945,0.02634638,0.036209508,0.090450645,0.019278148,-0.023368181,0.042457714,0.101203707,0.018317372,0.108623026,-0.033088521,0.12954639,-0.071455871,0.0381012,0.06560696,-0.092371776,0.041608443
