Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM
Jan-14,0.029219224,0.037455197,0.014196929,0.041256923,0.026372832,0.010047594,0.010406711,0.056250152,0.000269151,0.044596354
Feb-14,-0.026605647,0.079374676,-0.015620306,0.066326531,0.068461809,0.012041885,0.030267998,0.000312103,0.023156813,0.014646307
Mar-14,0.028129731,0.031047451,-0.024595667,0.031151379,-0.077911382,0.055095706,0.034173212,-0.026152613,0.042914226,0.048423423
Apr-14,0.048287087,-0.003958091,-6.26E-05,0.001678349,-0.007324044,0.002941898,0.000493194,-0.052748728,-0.03688412,-0.018357582
May-14,-0.059297597,-0.013869409,0.047744196,0.031145279,0.036890408,0.035443657,-0.006802721,0.001687565,-0.022141721,0.001492092
Jun-14,-0.053053525,-0.008928571,0.032429527,-0.04329956,0.000867754,-0.072474032,-0.061346039,-0.033019136,-0.019849659,-0.017282479
Jul-14,0.052456839,0.094235829,0.036096489,0.036367269,0.030865268,0.061847798,-0.008883249,0.024042314,0.026094331,0.005255711
Aug-14,0.004574132,0.006484517,0.024900899,0.02757158,0.013288478,0.02253116,0.011630388,0.006123409,0.012846494,-0.054393726
Sept-14,-0.019390799,0.014622846,0.034973035,0.011164274,0.003984064,-0.018284107,-0.011391203,0.012850105,-0.00261282,0.028282828
Oct-14,0.075654471,0.060859018,-0.008316227,0.004360735,-0.005291005,0.070439351,0.032860344,0.040065373,0.147763255,-0.063798987
Nov-14,-0.032598988,0.009819087,0.028767051,-0.033995381,0.040226064,-0.058219942,-0.03212478,0,-0.018961812,0.021095648
Dec-14,0.118402831,-0.041558442,-0.110509209,-0.042363967,-0.131032279,-0.02486973,-0.013447172,0.003210447,-0.010479837,-0.054407788
Jan-15,0.037696911,0.024320756,0.100806218,0.023666866,0.126884884,0.051736701,0.069883167,0.098239905,-0.012355965,0.012811714
Feb-15,-0.005104408,-0.020961943,-0.009589546,-0.018632329,-0.011422977,-0.063510393,-0.014762386,0.013696609,-0.020016871,-0.039981929
Mar-15,-0.044909382,-0.021549335,0.044953982,-0.013916501,0.044239023,0.000246609,-0.009133826,-0.024721643,-0.051064326,0.027882353
Apr-15,-0.019673504,0.012676156,0.049740352,0.009475806,0.039835599,0.009861933,-0.006421543,0.024169955,-0.04843099,-0.024836901
